,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1200,1200,CIF,Limpiador Liquido Antihongos Ultra Blanco Doypcak Cif 450 Ml,450.0 ml,7791290007536,82.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1201,1201,CIF,Cif Crema Flores de Naranjo con Microparticulas 375 Gr,375.0 gr,7791290008489,77.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1202,1202,SKIP,Jabon Liquido Ropa en Doypack Skip Perfect Results 3 Lt,3.0 lt,7791290010079,505.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1203,1203,ALA,Jabon en Pan Multiaccion Regular Ala 200 Gr,200.0 gr,7791290010734,52.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1204,1204,DRIVE,Jabon Liquido Ropa Rosas y Lilas Doypack Drive 800 Gr,800.0 gr,7791290011533,129.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1205,1205,CIF,Detergente Facil Enjuague Citrica Cif Ultra 300 Ml,300.0 cc,7791290012226,81.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1206,1206,VIM,Canasta Inodoro Pino 3 en 1 Vim 35 Gr,35.0 gr,7791290013797,99.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1207,1207,CIF,Paño Multiuso Ballerina Danzer Cif 1 Un,1.0 un,7791290647176,102.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1208,1208,CIF,Detergente Core Limon Active Gel Cif 500 Ml,500.0 ml,7791290786486,109.0,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
1209,1209,ALA,Jabon en Polvo Antibacterial Ala Matic 800 Gr,800.0 gr,7791290786776,99.1,2-1-096,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-B,Salto,Moreno 360,-34.290659999999995,-60.25439,SALTO,Supermercado
